Pane,"Relative biomass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,"MA_Calc (MA_Calc)","MA_Fleshy (MA_Fleshy)","CCA (CCA)","Pocillopora (Pocillopora)","Montipora (Montipora)","Porites_branch (Porites_branch)","Porites_mass (Porites_mass)","Octopus B (Octopus)","BenthGrazer B (BenthGrazer)","BenthDetr B (BenthDetr)","BenthCarn B (BenthCarn)","Lobster B (Lobster)","MantaRay B (MantaRay)","RovPisc B (RovPisc)","Uku B (Uku)","BFB B (BFB_group)","BFW B (BFW_group)","MesoPelScatter B (MesoPelScatter)","PreyFish B (PreyFish)","S_Plankt B (S_Plankt)","S_BenthCarn B (S_BenthCarn)","M_Plankt B (M_Plankt)","M_BenthCarn B (M_BenthCarn)","D_BenthPisc B (D_BenthPisc)","R_Other B (R_Other)","R_SmallPlankt B (R_SmallPlankt)","R_LargePlankt B (R_LargePlankt)","R_BenthCarn B (R_BenthCarn)","R_BenthPisc B (R_BenthPisc)","Parrotfish B (Parrotfish)","R_Grazer B (R_Grazer)","R_Browser B (R_Browser)","R_Coralliv B (R_Coralliv)","HawksbillT B (HawksbillT)","GreenTurtles B (GreenTurtles)","BottlenoseD B (BottlenoseD)","SpinnerD B (SpinnerD)","MonkSeals B (MonkSeals)","1: StingRay","2: MonkSeals","3: SpinnerD","4: BottlenoseD","5: GreenTurtles","6: HawksbillT","7: R_Coralliv","8: R_Browser","9: R_Grazer","10: Parrotfish","11: R_BenthPisc","12: R_BenthCarn","13: R_LargePlankt","14: R_SmallPlankt","15: R_Other","16: D_BenthPisc","17: M_BenthCarn","18: M_Plankt","19: S_BenthCarn","20: S_Plankt","21: PreyFish","22: MesoPelScatter","23: BFW_group","24: BFB_group","25: Uku","26: RovPisc","27: Sharks","28: MantaRay","29: Lobster","30: BenthCarn","31: BenthDetr","32: BenthGrazer","33: Octopus","34: BenthMeio","35: Infauna","36: Deep_FilterFeed","37: Bivalves","38: ShallowFilterFeed","39: Porites_mass","40: Porites_branch","41: Montipora","42: Pocillopora","43: Leptoseris","44: CCA","45: Turf","46: MA_Fleshy","47: MA_Calc","48: LargePhyto","49: SmallPhyto","50: Squid","51: LargeZoo","52: MedZoo","53: SmallZoo","54: GelatZoo","55: Detritus"
2001.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994245886802673,1.02075135707855,0.998366355895996,0.999446272850037,0.995117604732513,0.995974004268646,0.98467880487442,1.42245769500732,1.03998577594757,1.05485904216766,1.04533767700195,1.08944690227509,1.08612990379333,1.00056660175323,0.975505411624908,1.01206243038177,1.03218305110931,0.984127402305603,1.00440800189972,0.984237909317017,1.03018307685852,0.992404639720917,1.04151165485382,1.04064452648163,1.43423533439636,1.06733381748199,1.04709672927856,0.998083889484406,0.977942943572998,0.953670859336853,0.963836789131165,0.983849227428436,0.966360330581665,0.978024303913116,0.995785355567932,1.00043916702271,0.982725262641907,0.995546460151672,1,1,1,1,1.00238239765167,0.974855542182922,0.989639043807983,0.904302477836609,0.968977749347687,1.00150144100189,1.00058019161224,0.995820283889771,0.991298675537109,1.00328576564789,0.998637080192566,0.996127963066101,0.992592453956604
2001.41666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992381155490875,1.02345073223114,0.99812787771225,0.999343693256378,0.994251310825348,0.995293617248535,0.984352707862854,1.42570245265961,1.03977787494659,1.05480086803436,1.0520406961441,1.08516979217529,1.08748602867126,0.998631954193115,0.969125628471375,1.0128345489502,1.03049099445343,0.979933559894562,1.00183415412903,0.981873691082001,1.03059232234955,0.991418719291687,1.04448318481445,1.04323887825012,1.46029412746429,1.07276833057404,1.05168914794922,0.997817993164063,0.975370764732361,0.950009644031525,0.961699366569519,0.98194819688797,0.961162209510803,0.976795494556427,0.995331168174744,1.00069630146027,0.980909943580627,0.995162904262543,1,1,1,1,1.00275111198425,0.97333174943924,0.989209353923798,0.899506509304047,0.967455863952637,1.00164806842804,1.0006195306778,0.995938003063202,0.991747319698334,1.00262308120728,0.998604953289032,0.995875656604767,0.992140054702759
2001.5,,,,,,,,1,1,1,0.961547321400846,1,1,,,,1.16411049774599,1,1,1,1,1,1,1,,,,,,,,,,1,0.786041491742761,1,1,,0.990202486515045,1.02617299556732,0.997873842716217,0.999230861663818,0.99331921339035,0.994566977024078,0.984147965908051,1.42846381664276,1.03937375545502,1.05467796325684,1.05909705162048,1.08049654960632,1.08838546276093,0.996800243854523,0.963419914245605,1.01353704929352,1.02837920188904,0.975794732570648,0.998746871948242,0.979533791542053,1.03300452232361,0.990354895591736,1.04738175868988,1.04581034183502,1.48567295074463,1.07809066772461,1.05625128746033,0.997548460960388,0.97297739982605,0.946625649929047,0.959844768047333,0.98004412651062,0.955751061439514,0.975828468799591,0.994892358779907,1.00098037719727,0.979096055030823,0.994801700115204,1,1,1,1,1.00313460826874,0.971978783607483,0.988887429237366,0.895747840404511,0.966270565986633,1.00179243087769,1.0006548166275,0.995721220970154,0.992176830768585,1.00203120708466,0.998585343360901,0.995559215545654,0.991759479045868
2001.58333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98771733045578,1.02890837192535,0.997602045536041,0.999106526374817,0.992327153682709,0.993799686431885,0.984042406082153,1.43081521987915,1.03881168365479,1.05450046062469,1.06643342971802,1.07557094097137,1.08887624740601,0.995116055011749,0.958539962768555,1.01416766643524,1.02588939666748,0.971829116344452,0.995176613330841,0.977276265621185,1.03668558597565,0.989205181598663,1.05020439624786,1.04835343360901,1.51023650169373,1.08327174186707,1.06078064441681,0.997277438640594,0.970823466777802,0.943547427654266,0.958283066749573,0.978160440921783,0.950182259082794,0.975108087062836,0.994476914405823,1.00128626823425,0.977299690246582,0.994466662406921,1,1,1,1,1.00352847576141,0.970790147781372,0.988655269145966,0.89277583360672,0.965343415737152,1.00193130970001,1.00068581104279,0.995177447795868,0.992582499980927,1.00153005123138,0.998578310012817,0.995209336280823,0.99145120382309
2001.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984943926334381,1.0316516160965,0.997310161590576,0.998969078063965,0.99128246307373,0.992997467517853,0.984014451503754,1.43282079696655,1.03812313079834,1.05427730083466,1.07397794723511,1.0705281496048,1.08900856971741,0.993614196777344,0.954591870307922,1.01472580432892,1.02306985855103,0.968149900436401,0.991171658039093,0.975157797336578,1.04097056388855,0.98796546459198,1.05294895172119,1.05086374282837,1.53384208679199,1.08828902244568,1.06527698040009,0.997006952762604,0.968961536884308,0.940800666809082,0.95701801776886,0.976318061351776,0.94452577829361,0.974617004394531,0.994092226028442,1.00160944461823,0.975538074970245,0.994161128997803,1,1,1,1,1.00392770767212,0.969763994216919,0.988509178161621,0.890455543994904,0.964626431465149,1.00206077098846,1.0007119178772,0.994369149208069,0.992970764636993,1.00112307071686,0.998582661151886,0.994858205318451,0.991210043430328
2001.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981909096240997,1.03440046310425,0.996995210647583,0.998816847801209,0.990192532539368,0.99216616153717,0.984046459197998,1.43453776836395,1.03733551502228,1.0540167093277,1.08166098594666,1.06549274921417,1.08883380889893,0.992319941520691,0.951635301113129,1.01521074771881,1.01997327804565,0.964859187602997,0.986795723438263,0.97323089838028,1.04529905319214,0.986634194850922,1.0556138753891,1.05333769321442,1.55634081363678,1.09312498569489,1.06974101066589,0.996738731861115,0.967432022094727,0.938403010368347,0.956047177314758,0.974535048007965,0.938858509063721,0.974333643913269,0.993744611740112,1.00194442272186,0.973828673362732,0.993887484073639,1,1,1,1,1.00432682037354,0.968896210193634,0.988444566726685,0.888692319393158,0.96408486366272,1.00217807292938,1.0007336139679,0.993391454219818,0.993353962898254,1.00080132484436,0.998595952987671,0.994534373283386,0.991029560565948
2001.83333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978646516799927,1.03715538978577,0.996654331684113,0.998647809028625,0.989064931869507,0.991311430931091,0.984123587608337,1.43601739406586,1.03647327423096,1.05372667312622,1.08941602706909,1.06057560443878,1.08840346336365,0.991249203681946,0.949685037136078,1.01562249660492,1.01665413379669,0.962043881416321,0.982125222682953,0.971541702747345,1.0492354631424,0.985211670398712,1.05819809436798,1.0557724237442,1.57757866382599,1.09776568412781,1.07417368888855,0.996474206447601,0.966261029243469,0.936363399028778,0.955362021923065,0.972826242446899,0.933258593082428,0.974232971668243,0.99343866109848,1.00228631496429,0.972188472747803,0.993647217750549,1,1,1,1,1.00472056865692,0.968179404735565,0.988454580307007,0.887410044670105,0.963691592216492,1.00228083133698,1.0007506608963,0.992352962493896,0.993747115135193,1.0005476474762,0.998615920543671,0.994259178638458,0.99090301990509
2001.91666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975203692913055,1.03990721702576,0.996284484863281,0.998459994792938,0.987907111644745,0.99043881893158,0.984245538711548,1.43730795383453,1.03555965423584,1.05341446399689,1.09717953205109,1.05587470531464,1.08776867389679,0.990411460399628,0.948720097541809,1.01596057415009,1.01317024230957,0.959776759147644,0.977246284484863,0.970130324363709,1.05248713493347,0.983699798583984,1.06070077419281,1.05816543102264,1.59805464744568,1.10220038890839,1.07857620716095,0.996214628219604,0.965487241744995,0.934685587882996,0.954951047897339,0.971203505992889,0.927802383899689,0.974287748336792,0.993177831172943,1.00262987613678,0.970632672309875,0.993440866470337,1,1,1,1,1.00510334968567,0.967603981494904,0.988531053066254,0.886542916297913,0.963424026966095,1.00236749649048,1.00076353549957,0.991358995437622,0.994164526462555,1.00034248828888,0.998640418052673,0.99404639005661,0.990823209285736
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97162801027298,1.04265105724335,0.99588268995285,0.998251378536224,0.986725747585297,0.989553332328796,0.984407424926758,1.43845021724701,1.03461503982544,1.05308640003204,1.10489153862,1.05147182941437,1.08697926998138,0.989808320999146,0.948681116104126,1.01622462272644,1.00957655906677,0.958109378814697,0.972252130508423,0.969028115272522,1.05488562583923,0.982101261615753,1.06312096118927,1.06051409244537,1.61816167831421,1.10642147064209,1.08295047283173,0.995961368083954,0.965117454528809,0.933364689350128,0.954796850681305,0.969675600528717,0.922561764717102,0.974469482898712,0.992962956428528,1.00297045707703,0.969175159931183,0.993268191814423,1,1,1,1,1.00546956062317,0.967158675193787,0.988664925098419,0.88603276014328,0.963263273239136,1.00243723392487,1.00077283382416,0.990498840808868,0.99461817741394,1.00016486644745,0.998667657375336,0.99389910697937,0.99078369140625
2002.08333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967961430549622,1.04539167881012,0.995446562767029,0.998020112514496,0.985526919364929,0.98865932226181,0.984597265720367,1.44208550453186,1.03535974025726,1.04840838909149,1.11325025558472,1.04740071296692,1.08305943012238,0.989422678947449,0.949267506599426,1.01641452312469,1.00590527057648,0.957008242607117,0.967235267162323,0.968255162239075,1.05630934238434,0.980419933795929,1.06530344486237,1.0628969669342,1.6385281085968,1.11040365695953,1.08729445934296,0.9957155585289,0.965113878250122,0.93235057592392,0.954877436161041,0.968245506286621,0.917634010314941,0.974721729755402,0.992791831493378,1.00331521034241,0.967827618122101,0.989862978458405,1,1,1,1,1.00581431388855,0.966880679130554,0.988837659358978,0.885601282119751,0.963239908218384,1.00249207019806,1.00077891349792,0.989838480949402,0.995138466358185,0.999991774559021,0.998697221279144,0.993832588195801,0.990770697593689
